epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2494.07,1.01415,2.98848,1.50362,0.74701,0.81211,0.8805,0.6944,0.79369,2.37977,1.27608,0.000330935,0.000330935,0.000330935
2,3417.67,0.95336,1.89286,1.41303,0.76946,0.83971,0.90198,0.72603,0.71427,1.65099,1.20112,0.000598506,0.000598506,0.000598506
3,4404.37,0.91285,1.43209,1.3651,0.92204,0.86754,0.97093,0.79203,0.75324,1.461,1.19237,0.000800077,0.000800077,0.000800077
