epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,182.738,1.97155,2.55084,1.49681,1.09567,0,0.87351,0.77397,0.83669,0.44089,0.86063,0.76256,0.81967,0.37625,1.62394,2.11845,0.92116,0.95262,0,0.000665052,0.000665052,0.000665052
2,360.891,1.63948,2.08989,0.91333,0.98239,0,0.88982,0.80228,0.86894,0.50668,0.87317,0.77763,0.84521,0.39268,1.44228,2.02157,0.88123,0.90354,0,0.000892252,0.000892252,0.000892252
3,542.676,1.52446,1.95799,0.82809,0.95811,0,0.91207,0.82416,0.88398,0.52428,0.90831,0.82511,0.88405,0.51019,1.3761,1.85075,0.76672,0.88619,0,0.000679451,0.000679451,0.000679451
